"","score","text"
"1",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"2",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"3",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"4",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"5",-1,"RT @John_Kass: State Rep. @JeanneIves, conservative Republican running for governor of #Illinois , dissects #Immigration policies by Mayor‚Ä¶"
"6",1,"RT @redhead4645: Jeanne Ives for Governor of Illinois ! Fought against tax hikes, wants lower property tax and the only consistent
Conserva‚Ä¶"
"7",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"8",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"9",0,"RT @Disciple4Lif: Everyone from Illinois vote for Jeanne Ives March 20th

#MAGA #TCOT https://t.co/CDOmWg4Aaa"
"10",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"11",1,"RT @redhead4645: Jeanne Ives for Governor of Illinois ! Fought against tax hikes, wants lower property tax and the only consistent
Conserva‚Ä¶"
"12",1,"RT @PatriotPete101: Ì†ºÌ∑∫Ì†ºÌ∑∏ILLINOIS RISINGÌ†ºÌ∑∫Ì†ºÌ∑∏

MARCH 20 
Ì†ΩÌ¥¥Jeanne Ives, Gov
Ì†ΩÌ¥¥Richard Morthland, Lt Gov
Ì†ΩÌ¥¥Jason Helland, Secty of State
Enough with‚Ä¶"
"13",1,"RT @redhead4645: Jeanne Ives for Governor of Illinois ! Fought against tax hikes, wants lower property tax and the only consistent
Conserva‚Ä¶"
"14",1,"RT @redhead4645: Jeanne Ives for Governor of Illinois ! Fought against tax hikes, wants lower property tax and the only consistent
Conserva‚Ä¶"
"15",1,"RT @redhead4645: Jeanne Ives for Governor of Illinois ! Fought against tax hikes, wants lower property tax and the only consistent
Conserva‚Ä¶"
"16",1,"RT @redhead4645: Jeanne Ives for Governor of Illinois ! Fought against tax hikes, wants lower property tax and the only consistent
Conserva‚Ä¶"
