OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3,CANDIDATE4,PARTY4,NUMVOTES4,PERCVOTE4,CANDIDATE5,PARTY5,NUMVOTES5,PERCVOTE5,Shape__Area,Shape__Length
1,623,ALBAN,Fairfax,2016-11-17T10:58:50.000Z,stulad,623,ALBAN,Fairfax County,Clinton / Kaine (D),0.33445237,30,2383,1968,2383,Clinton / Kaine (D),Clinton / Kaine (D),1308,0.54888796,Trump / Pence (R),Trump / Pence (R),511,0.21443559,Johnson / Weld (L),Johnson / Weld (L),64,0.0268569,Stein / Baraka (G),Stein / Baraka (G),21,0.00881242,McMullin / Johnson (I),McMullin / Johnson (I),37,0.01552665,0.000591219502798,0.135815023975828
2,626,SARATOGA,Fairfax,2016-11-17T10:58:50.000Z,stulad,626,SARATOGA,Fairfax County,Clinton / Kaine (D),0.24726027,10,2920,2374,2920,Clinton / Kaine (D),Clinton / Kaine (D),1461,0.50034247,Trump / Pence (R),Trump / Pence (R),739,0.25308219,Johnson / Weld (L),Johnson / Weld (L),63,0.02157534,Stein / Baraka (G),Stein / Baraka (G),23,0.00787671,McMullin / Johnson (I),McMullin / Johnson (I),41,0.0140411,0.00027742490289,0.086533628185808
3,421,KINGSTOWNE,Fairfax,2016-11-17T10:58:50.000Z,stulad,421,KINGSTOWNE,Fairfax County,Clinton / Kaine (D),0.31324111,30,3036,2236,3036,Clinton / Kaine (D),Clinton / Kaine (D),1510,0.49736495,Trump / Pence (R),Trump / Pence (R),559,0.18412385,Johnson / Weld (L),Johnson / Weld (L),70,0.02305665,Stein / Baraka (G),Stein / Baraka (G),18,0.00592885,McMullin / Johnson (I),McMullin / Johnson (I),41,0.01350461,0.000217036362031,0.072538061199586
4,426,GREENSPRING,Fairfax,2016-11-17T10:58:50.000Z,stulad,426,GREENSPRING,Fairfax County,Clinton / Kaine (D),0.26115923,10,1501,1355,1501,Clinton / Kaine (D),Clinton / Kaine (D),844,0.56229181,Trump / Pence (R),Trump / Pence (R),452,0.30113258,Johnson / Weld (L),Johnson / Weld (L),8,0.00532978,Stein / Baraka (G),Stein / Baraka (G),1,0.00066622,McMullin / Johnson (I),McMullin / Johnson (I),17,0.01132578,3.8159148916e-05,0.031485936293203
5,840,WEST SPRINGFIELD,Fairfax,2016-11-17T10:58:50.000Z,stulad,840,WEST SPRINGFIELD,Fairfax County,Clinton / Kaine (D),0.19681058,10,2571,1927,2571,Clinton / Kaine (D),Clinton / Kaine (D),1134,0.44107351,Trump / Pence (R),Trump / Pence (R),628,0.24426293,Johnson / Weld (L),Johnson / Weld (L),40,0.01555815,Stein / Baraka (G),Stein / Baraka (G),17,0.00661221,McMullin / Johnson (I),McMullin / Johnson (I),55,0.02139245,0.000268299156656,0.102926600408861
6,825,CHERRY RUN,Fairfax,2016-11-17T10:58:50.000Z,stulad,825,CHERRY RUN,Fairfax County,Clinton / Kaine (D),0.13598673,10,2412,1874,2412,Clinton / Kaine (D),Clinton / Kaine (D),1028,0.42620232,Trump / Pence (R),Trump / Pence (R),700,0.29021559,Johnson / Weld (L),Johnson / Weld (L),50,0.02072968,Stein / Baraka (G),Stein / Baraka (G),7,0.00290216,McMullin / Johnson (I),McMullin / Johnson (I),41,0.01699834,0.00023555431443,0.074755149817138
7,812,VALLEY,Fairfax,2016-11-17T10:58:50.000Z,stulad,812,VALLEY,Fairfax County,Clinton / Kaine (D),0.19840938,10,2389,1822,2389,Clinton / Kaine (D),Clinton / Kaine (D),1082,0.45290917,Trump / Pence (R),Trump / Pence (R),608,0.25449979,Johnson / Weld (L),Johnson / Weld (L),53,0.02218501,Stein / Baraka (G),Stein / Baraka (G),10,0.00418585,McMullin / Johnson (I),McMullin / Johnson (I),40,0.01674341,0.000232016311866,0.090688583774806
8,417,GARFIELD,Fairfax,2016-11-17T10:58:50.000Z,stulad,417,GARFIELD,Fairfax County,Clinton / Kaine (D),0.36687853,30,2832,2373,2832,Clinton / Kaine (D),Clinton / Kaine (D),1644,0.58050847,Trump / Pence (R),Trump / Pence (R),605,0.21362994,Johnson / Weld (L),Johnson / Weld (L),42,0.01483051,Stein / Baraka (G),Stein / Baraka (G),19,0.00670904,McMullin / Johnson (I),McMullin / Johnson (I),25,0.00882768,0.000666917735993,0.134036356653364
9,842,PARKWAY,Fairfax,2016-11-17T10:58:50.000Z,stulad,842,PARKWAY,Fairfax County,Clinton / Kaine (D),0.09451986,2,1989,1537,1989,Clinton / Kaine (D),Clinton / Kaine (D),797,0.40070387,Trump / Pence (R),Trump / Pence (R),609,0.30618401,Johnson / Weld (L),Johnson / Weld (L),33,0.01659125,Stein / Baraka (G),Stein / Baraka (G),11,0.00553042,McMullin / Johnson (I),McMullin / Johnson (I),36,0.01809955,0.000224196463291,0.070397353700772
10,130,TERRA CENTRE,Fairfax,2016-11-17T10:58:50.000Z,stulad,130,TERRA CENTRE,Fairfax County,Clinton / Kaine (D),0.20226378,10,2032,1629,2032,Clinton / Kaine (D),Clinton / Kaine (D),950,0.46751969,Trump / Pence (R),Trump / Pence (R),539,0.26525591,Johnson / Weld (L),Johnson / Weld (L),55,0.02706693,Stein / Baraka (G),Stein / Baraka (G),11,0.00541339,McMullin / Johnson (I),McMullin / Johnson (I),41,0.02017717,0.000172276299774,0.059777934194851
11,129,KEENE MILL,Fairfax,2016-11-17T10:58:50.000Z,stulad,129,KEENE MILL,Fairfax County,Clinton / Kaine (D),0.25122807,10,1425,1157,1425,Clinton / Kaine (D),Clinton / Kaine (D),718,0.50385965,Trump / Pence (R),Trump / Pence (R),360,0.25263158,Johnson / Weld (L),Johnson / Weld (L),33,0.02315789,Stein / Baraka (G),Stein / Baraka (G),9,0.00631579,McMullin / Johnson (I),McMullin / Johnson (I),21,0.01473684,0.000148017298716,0.076275925546783
